Polluted element,Type of pollution,Georgia_Port Huron_2020,Georgia_Rochester_2020,Michigan_Columbus_2016,Michigan_Detroit_2016,Minnesota_Albany_2015,Minnesota_Flint_2015,Minnesota_Minneapolis_2015
Air,,-72.24,58.04,82.03,-50.79,-68.71,-17.95,29.61
,  Groundwater,-75.47,54.93,82.07,-54.10,-96.47,-20.33,30.64
,  Industrial,-67.26,64.96,89.55,-40.15,-82.83,-3.70,42.86
,  Inorganic Fertilizers,-77.42,48.96,71.30,-60.26,-4.10,-31.28,11.85
,  Thermal,-68.79,63.30,85.19,-48.64,-91.43,-16.50,33.08
Soil,,-74.39,53.41,79.16,-55.88,-46.82,-21.52,23.77
,  Inferior Irrigation,-76.01,49.22,76.97,-55.50,-99.61,-22.11,20.91
,  Light,-67.02,64.75,89.75,-48.21,-87.37,-7.43,37.24
,  Oxygen-depletion,-74.96,56.12,82.17,-51.20,-94.93,-19.11,32.56
,  Solid Waste,-79.56,43.55,67.73,-68.62,94.64,-37.45,4.38
Water,,-73.42,56.08,79.78,-53.62,-45.49,-20.24,24.69
,  Industrial,-78.50,47.23,68.69,-63.80,97.78,-36.23,5.50
,  Noise,-72.13,61.54,83.10,-50.75,-93.67,-17.70,33.99
,  Solid Waste,-66.71,64.06,89.91,-44.81,-86.35,-4.93,39.26
,  Surface water,-76.36,51.49,77.42,-55.10,-99.73,-22.12,20.01
