Polluted element,Type of pollution,Georgia_Columbus_2020,Georgia_Hastings_2020,Georgia_Washington_2019,Minnesota_Albany_2018,Minnesota_Minneapolis_2018,Minnesota_Rochester_2022
Air,,23.65,2.92,-9.89,45.28,17.29,-24.95
,  Groundwater,95.38,34.29,72.10,82.48,7.99,58.01
,  Inferior Irrigation,-4.40,-74.23,-49.35,95.82,28.88,-65.39
,  Thermal,-20.02,48.69,-52.41,-42.45,14.99,-67.48
Soil,,-16.41,5.94,-10.46,47.50,18.54,18.61
,  Inorganic Fertilizers,-17.19,53.93,-51.64,-38.57,16.46,59.83
,  Light,-28.29,-93.09,74.87,84.96,10.95,59.39
,  Oxygen-depletion,-3.74,56.99,-54.62,96.11,28.20,-63.40
Water,,22.25,-41.90,31.77,-42.02,13.46,-69.67
,  Noise,-26.10,45.99,73.41,-44.27,13.55,-68.36
,  Oxygen-depletion,97.95,-96.66,72.13,-47.06,6.08,-75.37
,  Solid Waste,-5.09,-75.04,-50.23,-34.72,20.74,-65.27
Average,,9.83,-11.01,3.81,16.92,16.43,-25.34
,  ,9.83,-11.01,3.81,16.92,16.43,-25.34
