Polluted element,Type of pollution,California_Malibu_2019,California_Washington_2021,Georgia_Albany_2021,Georgia_Berkeley_2019,Georgia_Detroit_2019,Michigan_Columbus_2019,Michigan_Flint_2021,Michigan_San Francisco_2021
Air,,-67.36,61.38,5.34,-14.55,30.63,85.92,10.01,-43.91
,  Groundwater,-70.42,54.40,98.60,-18.11,27.03,84.40,7.67,-45.73
,  Noise,-66.86,68.55,-89.53,-11.76,35.96,88.82,11.94,-42.86
,  Urban Activities,-64.78,61.20,6.96,-13.78,28.91,84.56,10.43,-43.15
Soil,,-71.56,56.28,-0.19,-19.69,25.55,82.12,6.68,-46.74
,  Inferior Irrigation,-73.59,54.47,93.41,-20.49,20.61,81.44,4.61,-47.77
,  Inorganic Fertilizers,-72.61,56.38,4.95,-21.81,27.39,81.82,6.90,-47.88
,  Light,-68.48,57.98,-98.92,-16.76,28.64,83.11,8.54,-44.56
Water,,-69.16,58.09,2.83,-16.68,26.72,84.22,8.34,-45.75
,  Industrial,-68.50,57.20,5.38,-16.45,29.62,81.62,8.87,-45.32
,  Surface water,-72.43,54.87,98.83,-19.49,20.30,83.10,6.58,-46.04
,  Thermal,-66.54,62.20,-95.72,-14.12,30.24,87.94,9.56,-45.89
Average,,-69.36,58.58,2.66,-16.97,27.63,84.09,8.34,-45.47
,  ,-69.36,58.58,2.66,-16.97,27.63,84.09,8.34,-45.47
