Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Workshop,Q3,September,Nevada,Las Vegas,10.65
Production,Workshop,Q2,August,Oregon,Boulder City,14.91
Production,Workshop,Q3,July,Nevada,Redmond,26.62
Production,Workshop,Q2,June,Oregon,Las Vegas,36.42
Production,Workshop,Q3,April,Nevada,Boulder City,37.78
Production,Workshop,Q2,May,Oregon,Redmond,37.32
Culture,Factory,Q3,September,Nevada,Las Vegas,44.42
Culture,Factory,Q2,August,Oregon,Boulder City,45.44
Culture,Factory,Q3,July,Nevada,Redmond,46.1
Culture,Factory,Q2,June,Oregon,Las Vegas,50.21
Culture,Factory,Q3,April,Nevada,Boulder City,51.44
Culture,Factory,Q2,May,Oregon,Redmond,51.85
Production,Museum,Q3,September,Nevada,Las Vegas,55.19
Production,Museum,Q2,August,Oregon,Boulder City,57.32
Production,Museum,Q3,July,Nevada,Redmond,58.34
Production,Museum,Q2,June,Oregon,Las Vegas,64.36
Production,Museum,Q3,April,Nevada,Boulder City,64.74
Production,Museum,Q2,May,Oregon,Redmond,65.79
Culture,Concert,Q3,September,Nevada,Las Vegas,72.38
Culture,Concert,Q2,August,Oregon,Boulder City,75.39
Culture,Concert,Q3,July,Nevada,Redmond,76.18
Culture,Concert,Q2,June,Oregon,Las Vegas,78.25
Culture,Concert,Q3,April,Nevada,Boulder City,80.44
Culture,Concert,Q2,May,Oregon,Redmond,83.37
Production,Theatre,Q3,September,Nevada,Las Vegas,85.0
Production,Theatre,Q2,August,Oregon,Boulder City,89.62
Production,Theatre,Q3,July,Nevada,Redmond,90.94
Production,Theatre,Q2,June,Oregon,Las Vegas,91.74
Production,Theatre,Q3,April,Nevada,Boulder City,94.68
Production,Theatre,Q2,May,Oregon,Redmond,97.51
