Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2022,Wind,Calm,0.09
2022,Temperature,Storm,0.27
2022,Humidity,11-20,26.63
2022,Wind,21-30,5.89
2022,Temperature,Low,6.34
2022,Humidity,High,6.3
2017,Wind,Calm,7.51
2017,Temperature,Storm,9.38
2017,Humidity,11-20,8.43
2017,Wind,21-30,11.57
2017,Temperature,Low,14.97
2017,Humidity,High,15.38
2020,Wind,Calm,19.96
2020,Temperature,Storm,20.37
2020,Humidity,11-20,23.07
2020,Wind,21-30,23.1
2020,Temperature,Low,26.4
2020,Humidity,High,27.77
