Characteristic,Intensity,2015_California_Berkeley,2015_Florida_Tampa,2019_California_Fort Lauderdale,2019_Florida_Los-Angeles,2020_Florida_San Francisco
Humidity,,25.46,4.01,15.03,17.54,24.95
,  31-40,24.47,3.04,12.35,17.54,17.18
,  Medium,25.46,0.93,5.24,13.96,17.15
,  Storm,12.48,4.01,15.03,1.73,24.95
Temperature,,25.78,4.62,16.81,20.08,25.43
,  0-10,25.78,4.62,12.74,7.97,18.15
,  Calm,0.23,4.37,16.81,20.08,25.43
,  Low,25.19,1.02,3.37,15.36,17.86
Wind,,24.64,8.42,17.09,22.53,26.49
,  Breeze,11.37,5.61,12.76,20.60,19.44
,  High,24.64,1.15,11.19,17.93,20.81
,  Medium,0.21,8.42,17.09,22.53,26.49
