Quarter,Month,Production_Apartment,Production_Factory,Production_Hotel,Residential_House,Residential_Workshop,Minimum
Q1,April,78.92,5.49,51.23,66.07,21.69,5.49
,February,88.20,9.99,59.74,69.04,32.45,9.99
,September,94.40,15.49,63.73,74.77,47.52,15.49
Q2,August,88.99,13.58,60.79,74.47,45.05,13.58
,January,85.53,7.52,58.91,66.41,28.76,7.52
,June,77.51,2.23,50.09,65.92,21.22,2.23
Q3,June,99.48,16.31,63.76,74.82,48.25,16.31
,March,88.68,11.64,59.00,73.51,43.35,11.64
,May,77.04,6.01,56.85,67.23,27.20,6.01
Minimum,,77.04,2.23,50.09,65.92,21.22,2.23
