Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Hospital,Q3,September,Massachusetts,Boston,0.36
Service,Hospital,Q1,July,Massachusetts,Lenox,7.42
Service,Hospital,Q3,January,Massachusetts,Boston,11.22
Service,Hospital,Q1,March,Massachusetts,Lenox,14.96
Residential,School,Q3,September,Massachusetts,Boston,21.6
Residential,School,Q1,July,Massachusetts,Lenox,27.23
Residential,School,Q3,January,Massachusetts,Boston,30.84
Residential,School,Q1,March,Massachusetts,Lenox,31.0
Culture,House,Q3,September,Massachusetts,Boston,30.95
Culture,House,Q1,July,Massachusetts,Lenox,33.07
Culture,House,Q3,January,Massachusetts,Boston,64.11
Culture,House,Q1,March,Massachusetts,Lenox,64.0
Service,Hotel,Q3,September,Massachusetts,Boston,67.57
Service,Hotel,Q1,July,Massachusetts,Lenox,73.49
Service,Hotel,Q3,January,Massachusetts,Boston,76.02
Service,Hotel,Q1,March,Massachusetts,Lenox,77.76
Residential,Museum,Q3,September,Massachusetts,Boston,79.94
Residential,Museum,Q1,July,Massachusetts,Lenox,81.06
Residential,Museum,Q3,January,Massachusetts,Boston,82.0
Residential,Museum,Q1,March,Massachusetts,Lenox,82.99
Culture,Theatre,Q3,September,Massachusetts,Boston,88.37
Culture,Theatre,Q1,July,Massachusetts,Lenox,91.53
Culture,Theatre,Q3,January,Massachusetts,Boston,98.11
Culture,Theatre,Q1,March,Massachusetts,Lenox,98.91
