Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Production,Factory,Q2,April,8.29
Production,Factory,Q1,May,11.11
Production,Factory,Q2,June,18.36
Production,Factory,Q1,February,18.22
Production,Factory,Q2,March,21.94
Production,Factory,Q1,January,22.11
Residential,Workshop,Q2,April,23.3
Residential,Workshop,Q1,May,24.92
Residential,Workshop,Q2,June,26.95
Residential,Workshop,Q1,February,36.32
Residential,Workshop,Q2,March,47.32
Residential,Workshop,Q1,January,52.22
Production,Apartment,Q2,April,54.09
Production,Apartment,Q1,May,55.68
Production,Apartment,Q2,June,58.76
Production,Apartment,Q1,February,58.58
Production,Apartment,Q2,March,60.0
Production,Apartment,Q1,January,64.27
Residential,Hotel,Q2,April,68.84
Residential,Hotel,Q1,May,78.08
Residential,Hotel,Q2,June,84.98
Residential,Hotel,Q1,February,86.06
Residential,Hotel,Q2,March,87.16
Residential,Hotel,Q1,January,88.88
