Characteristic,Intensity,2016_Georgia_Boulder City,2016_Nevada_Columbus,2016_Oregon_Portland,2021_Georgia_Albany,2021_Georgia_Salem,2021_Nevada_Redmond,2021_Oregon_Las Vegas
Humidity,,26.73,16.95,26.94,7.36,26.11,14.80,25.63
,  Breeze,25.38,16.95,18.97,7.36,23.13,14.80,25.63
,  Calm,26.73,10.14,16.29,1.60,26.11,9.35,17.72
,  Medium,24.95,13.80,26.94,3.19,3.33,0.29,14.25
Temperature,,27.32,17.50,18.88,7.83,25.42,14.03,26.08
,  0-10,26.62,12.65,17.93,5.67,23.47,12.57,23.46
,  Calm,5.84,17.50,18.88,7.83,25.42,14.03,26.08
,  High,27.32,9.92,4.28,1.71,23.85,10.97,20.16
Wind,,27.67,11.86,17.36,6.53,26.30,13.94,24.78
,  31-40,25.68,6.98,5.80,6.53,26.30,13.94,24.78
,  Breeze,27.67,9.80,16.00,0.13,22.28,8.52,18.28
,  Low,25.99,11.86,17.36,3.46,23.33,0.45,21.20
