Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2016,California,Berkeley,Temperature,31-40,0.37
2016,California,Berkeley,Wind,21-30,2.56
2016,California,Berkeley,Temperature,Calm,3.57
2016,California,Berkeley,Wind,Storm,6.28
2018,Nevada,Los-Angeles,Temperature,31-40,7.87
2018,Nevada,Los-Angeles,Wind,21-30,8.77
2018,Nevada,Los-Angeles,Temperature,Calm,9.63
2018,Nevada,Los-Angeles,Wind,Storm,10.82
2022,Michigan,Boulder City,Temperature,31-40,11.0
2022,Michigan,Boulder City,Wind,21-30,12.05
2022,Michigan,Boulder City,Temperature,Calm,13.78
2022,Michigan,Boulder City,Wind,Storm,14.47
2016,California,Las Vegas,Temperature,31-40,13.12
2016,California,Las Vegas,Wind,21-30,12.61
2016,California,Las Vegas,Temperature,Calm,17.72
2016,California,Las Vegas,Wind,Storm,18.54
2018,Nevada,Port Huron,Temperature,31-40,19.54
2018,Nevada,Port Huron,Wind,21-30,20.93
2018,Nevada,Port Huron,Temperature,Calm,18.74
2018,Nevada,Port Huron,Wind,Storm,20.14
2022,Michigan,Flint,Temperature,31-40,23.41
2022,Michigan,Flint,Wind,21-30,22.85
2022,Michigan,Flint,Temperature,Calm,26.71
2022,Michigan,Flint,Wind,Storm,27.62
2016,California,Detroit,Temperature,31-40,10.59
2016,California,Detroit,Wind,21-30,11.61
2016,California,Detroit,Temperature,Calm,12.12
2016,California,Detroit,Wind,Storm,13.49
