Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Service,School,Q3,August,5.79
Service,School,Q1,July,7.19
Service,School,Q2,January,8.63
Service,School,Q3,February,16.39
Service,School,Q1,May,20.64
Service,School,Q2,April,20.52
Residential,Library,Q3,August,25.14
Residential,Library,Q1,July,25.47
Residential,Library,Q2,January,28.42
Residential,Library,Q3,February,34.6
Residential,Library,Q1,May,35.26
Residential,Library,Q2,April,36.71
Service,Hotel,Q3,August,45.88
Service,Hotel,Q1,July,47.25
Service,Hotel,Q2,January,47.85
Service,Hotel,Q3,February,52.75
Service,Hotel,Q1,May,52.31
Service,Hotel,Q2,April,56.78
Residential,House,Q3,August,58.78
Residential,House,Q1,July,60.94
Residential,House,Q2,January,63.47
Residential,House,Q3,February,0.03
Residential,House,Q1,May,73.95
Residential,House,Q2,April,75.58
Service,Apartment,Q3,August,76.84
Service,Apartment,Q1,July,77.66
Service,Apartment,Q2,January,82.76
Service,Apartment,Q3,February,92.39
Service,Apartment,Q1,May,96.22
Service,Apartment,Q2,April,97.75
