Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2015,Oregon,Portland,Wind,Storm,0.33
2015,Oregon,Portland,Humidity,Calm,1.8
2015,Oregon,Portland,Wind,Breeze,3.49
2015,Oregon,Portland,Humidity,Medium,5.95
2015,Oregon,Portland,Wind,Low,6.91
2015,Oregon,Portland,Humidity,Storm,6.65
2018,Minnesota,Salem,Wind,Storm,8.04
2018,Minnesota,Salem,Humidity,Calm,9.31
2018,Minnesota,Salem,Wind,Breeze,10.06
2018,Minnesota,Salem,Humidity,Medium,11.34
2018,Minnesota,Salem,Wind,Low,12.67
2018,Minnesota,Salem,Humidity,Storm,12.45
2015,California,Hastings,Wind,Storm,12.25
2015,California,Hastings,Humidity,Calm,15.12
2015,California,Hastings,Wind,Breeze,15.08
2015,California,Hastings,Humidity,Medium,15.91
2015,California,Hastings,Wind,Low,18.01
2015,California,Hastings,Humidity,Storm,19.25
2018,Oregon,Rochester,Wind,Storm,19.06
2018,Oregon,Rochester,Humidity,Calm,21.46
2018,Oregon,Rochester,Wind,Breeze,22.97
2018,Oregon,Rochester,Humidity,Medium,21.35
2018,Oregon,Rochester,Wind,Low,21.29
2018,Oregon,Rochester,Humidity,Storm,25.22
2015,Minnesota,Los-Angeles,Wind,Storm,18.59
2015,Minnesota,Los-Angeles,Humidity,Calm,23.68
2015,Minnesota,Los-Angeles,Wind,Breeze,22.58
2015,Minnesota,Los-Angeles,Humidity,Medium,20.01
2015,Minnesota,Los-Angeles,Wind,Low,27.9
2015,Minnesota,Los-Angeles,Humidity,Storm,22.27
2018,California,Berkeley,Wind,Storm,23.4
2018,California,Berkeley,Humidity,Calm,24.54
2018,California,Berkeley,Wind,Breeze,15.57
2018,California,Berkeley,Humidity,Medium,18.57
2018,California,Berkeley,Wind,Low,7.36
2018,California,Berkeley,Humidity,Storm,20.55
