Polluted element,Type of pollution,Florida_Columbia,Florida_Minneapolis,Florida_Tampa,Maryland_Baltimore,Maryland_Hastings,Minnesota_Aberdeen,Minnesota_Fort Lauderdale,Average
Air,,21.98,62.22,15.35,-0.83,10.10,-14.29,-45.70,6.98
,  Light,-24.25,63.75,9.96,85.06,53.84,72.21,-89.52,24.44
,  Solid Waste,-7.24,63.28,32.27,-39.90,56.26,-57.71,46.08,13.29
,  Surface water,97.44,59.64,3.82,-47.64,-79.79,-57.36,-93.65,-16.79
Soil,,12.87,-67.80,8.73,-4.31,7.91,-14.09,36.01,-2.95
,  Noise,-23.45,-64.71,18.12,-43.37,54.35,-53.39,39.35,-10.44
,  Oxygen-depletion,98.25,-67.01,4.71,83.51,50.82,-56.36,36.56,21.50
,  Solid Waste,-36.19,-71.67,3.36,-53.06,-81.44,67.48,32.13,-19.91
Water,,60.76,-24.43,13.55,39.71,-77.66,73.04,-50.28,4.96
,  Chemical,97.49,62.04,9.41,83.77,-76.37,73.91,-96.90,21.91
,  Thermal,-9.58,-63.89,27.02,-41.69,-75.53,76.69,-87.31,-24.90
,  Urban Activities,94.37,-71.45,4.23,77.05,-81.07,68.53,33.37,17.86
Average,,31.87,-10.00,12.54,11.53,-19.88,14.89,-19.99,2.99
,  ,31.87,-10.00,12.54,11.53,-19.88,14.89,-19.99,2.99
