Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2015,Q1,Beverage,Soda,262.12
Export,2015,Q1,Dairy,Coffee,780.97
Export,2015,Q1,Meat,Milk,269.48
Export,2015,Q1,Beverage,Cream,782.48
Export,2015,Q1,Dairy,Duck,791.13
Export,2015,Q1,Meat,Lamb,415.04
Export,2022,Q1,Beverage,Soda,165.27
Export,2022,Q1,Dairy,Coffee,687.88
Export,2022,Q1,Meat,Milk,184.28
Export,2022,Q1,Beverage,Cream,569.13
Export,2022,Q1,Dairy,Duck,314.33
Export,2022,Q1,Meat,Lamb,579.43
Export,2015,Q1,Beverage,Soda,328.76
Export,2015,Q1,Dairy,Coffee,843.35
Export,2015,Q1,Meat,Milk,468.01
Export,2015,Q1,Beverage,Cream,856.84
Export,2015,Q1,Dairy,Duck,606.19
Export,2015,Q1,Meat,Lamb,355.71
Export,2022,Q1,Beverage,Soda,868.31
Export,2022,Q1,Dairy,Coffee,365.61
Export,2022,Q1,Meat,Milk,753.24
Export,2022,Q1,Beverage,Cream,243.21
Export,2022,Q1,Dairy,Duck,372.81
Export,2022,Q1,Meat,Lamb,250.67
