Polluted element,Type of pollution,Georgia_Champaign,Georgia_Flint,Illinois_Chicago,Illinois_Detroit,Illinois_Washington,Michigan_Albany,Michigan_Port Huron,Michigan_Springfield
Average,,60.33,-73.35,11.52,79.13,-46.35,-16.68,-21.93,40.65
,  ,60.33,-73.35,11.52,79.13,-46.35,-16.68,-21.93,40.65
Air,,58.17,-75.57,7.62,76.44,-49.05,-18.80,0.62,38.98
,  Groundwater,68.88,-63.40,18.14,81.74,-42.18,-9.34,-94.62,48.69
,  Light,50.52,-85.46,2.22,69.93,-59.85,-29.00,92.73,30.99
,  Solid Waste,53.27,-79.94,4.10,74.12,-49.94,-21.67,99.82,37.19
,  Urban Activities,60.00,-73.47,6.03,79.97,-44.22,-15.19,-95.45,39.04
Soil,,60.29,-73.29,12.75,78.87,-46.91,-17.14,-22.12,40.91
,  Chemical,68.57,-61.98,27.24,85.34,-42.96,-7.18,-92.03,49.23
,  Industrial,56.37,-75.20,7.94,76.40,-47.62,-19.03,0.58,38.35
,  Surface water,63.78,-72.01,10.96,81.91,-43.82,-15.93,-93.13,44.14
,  Thermal,52.43,-83.97,4.87,71.83,-53.23,-26.42,96.11,31.90
Water,,62.54,-71.20,14.18,82.07,-43.11,-14.09,-44.28,42.07
,  Inorganic Fertilizers,58.76,-75.15,8.86,79.53,-45.27,-17.54,-95.22,39.81
,  Light,70.52,-61.45,28.44,92.04,-32.15,-4.07,-88.93,50.01
,  Noise,53.84,-82.84,4.22,74.61,-53.00,-22.11,99.53,32.75
,  Oxygen-depletion,67.05,-65.34,15.21,82.10,-42.01,-12.64,-92.50,45.73
