Polluted element,Type of pollution,Illinois_Salem,Illinois_Springfield,Oregon_Champaign,Oregon_Redmond,Average
Air,Oxygen-depletion,-63.70,-27.92,-45.15,-95.74,-58.13
,Thermal,-65.55,-29.00,-44.91,25.07,-28.60
,Urban Activities,-67.77,95.58,82.22,20.42,32.61
Soil,Groundwater,-60.62,-25.84,-42.94,-86.17,-53.89
,Light,66.53,39.92,19.81,-36.13,22.54
,Solid Waste,65.79,-32.97,78.18,21.13,33.03
Water,Chemical,65.80,94.52,-45.94,28.28,35.66
,Noise,-61.33,-18.27,21.04,-27.07,-21.41
,Surface water,-60.07,-22.34,-42.01,-82.73,-51.79
Average,,-20.10,8.19,-2.19,-25.88,-10.00
