Characteristic,Intensity,2015_Florida_Minneapolis,2015_Illinois_Champaign,2015_Minnesota_Tampa,2022_Florida_Chicago,2022_Illinois_Fort Lauderdale,2022_Minnesota_Hastings
Humidity,,15.01,22.18,27.98,14.35,24.12,3.27
,  21-30,12.79,7.31,21.59,12.74,21.04,3.27
,  Calm,15.01,22.18,27.33,14.35,24.12,2.96
,  Medium,9.82,5.20,27.98,9.69,18.66,0.81
Temperature,,16.37,18.00,27.93,14.45,21.74,3.36
,  31-40,10.29,7.70,23.20,12.48,15.99,2.47
,  Low,9.57,18.00,27.93,9.62,17.70,1.64
,  Storm,16.37,3.58,26.64,14.45,21.74,3.36
Wind,,17.34,24.38,28.00,13.81,23.06,4.00
,  Breeze,11.33,21.28,25.86,13.81,23.06,1.27
,  High,11.05,5.97,28.00,11.37,20.93,2.80
,  Medium,17.34,24.38,8.58,4.08,20.05,4.00
Maximum,,17.34,24.38,28.00,14.45,24.12,4.00
,  ,17.34,24.38,28.00,14.45,24.12,4.00
