Characteristic,Intensity,2016_Massachusetts_Aberdeen,2016_Massachusetts_Cambridge,2020_Maryland_Baltimore,2020_Maryland_Boston,2020_Maryland_Columbia
Maximum,,18.26,27.40,8.03,21.52,27.79
,  ,18.26,27.40,8.03,21.52,27.79
Humidity,,17.52,27.24,7.98,21.52,26.93
,  Breeze,7.82,27.24,2.19,12.79,18.87
,  Calm,17.52,9.20,7.98,21.52,26.93
,  Low,14.79,26.22,5.68,15.50,23.19
Temperature,,18.26,25.45,8.03,17.56,27.79
,  21-30,14.09,25.45,4.30,17.56,24.48
,  Breeze,18.26,10.40,8.03,1.74,27.79
,  Storm,12.03,21.34,3.99,14.80,19.56
Wind,,14.72,27.40,7.99,19.40,21.69
,  31-40,14.72,2.02,7.99,19.40,21.69
,  Calm,9.82,27.40,1.64,11.05,19.85
,  Medium,12.93,25.84,3.78,15.13,13.66
