Polluted element,Type of pollution,Illinois_Baltimore,Illinois_Chicago,Illinois_Springfield,Maryland_Aberdeen,Maryland_Champaign,Maryland_Columbia
Air,,-18.94,26.05,-33.33,-51.50,-50.95,-17.36
,  Light,26.70,44.79,52.06,-54.28,35.49,-16.60
,  Oxygen-depletion,-41.82,19.02,-73.19,-48.15,-90.32,-13.24
,  Surface water,-41.71,14.33,-78.87,-52.07,-98.02,-22.23
Soil,,25.30,18.55,-45.61,14.29,-24.70,-12.33
,  Groundwater,-46.42,13.19,-75.73,-50.77,-90.56,-14.93
,  Noise,28.14,19.07,10.79,12.13,-26.10,-12.45
,  Solid Waste,94.19,23.37,-71.90,81.52,42.56,-9.61
Water,,24.67,17.42,17.66,35.05,-27.82,-15.19
,  Chemical,90.81,14.22,53.12,78.17,-96.55,-20.69
,  Industrial,-43.74,20.84,53.71,80.08,41.39,-11.76
,  Thermal,26.93,17.19,-53.86,-53.11,-28.30,-13.11
Average,,10.34,20.67,-20.43,-0.72,-34.49,-14.96
,  ,10.34,20.67,-20.43,-0.72,-34.49,-14.96
