Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Culture,Concert,Q4,December,Georgia,Columbus,7.55
Culture,Concert,Q2,October,Nevada,Albany,11.47
Culture,Concert,Q4,June,Georgia,Boulder City,15.52
Culture,Concert,Q2,April,Nevada,Las Vegas,15.51
Production,Museum,Q4,December,Georgia,Columbus,18.79
Production,Museum,Q2,October,Nevada,Albany,23.63
Production,Museum,Q4,June,Georgia,Boulder City,24.71
Production,Museum,Q2,April,Nevada,Las Vegas,29.58
Residential,Factory,Q4,December,Georgia,Columbus,30.9
Residential,Factory,Q2,October,Nevada,Albany,35.73
Residential,Factory,Q4,June,Georgia,Boulder City,39.77
Residential,Factory,Q2,April,Nevada,Las Vegas,40.91
Culture,Workshop,Q4,December,Georgia,Columbus,45.15
Culture,Workshop,Q2,October,Nevada,Albany,48.16
Culture,Workshop,Q4,June,Georgia,Boulder City,49.79
Culture,Workshop,Q2,April,Nevada,Las Vegas,50.27
Production,Hotel,Q4,December,Georgia,Columbus,60.28
Production,Hotel,Q2,October,Nevada,Albany,68.43
Production,Hotel,Q4,June,Georgia,Boulder City,69.08
Production,Hotel,Q2,April,Nevada,Las Vegas,69.13
Residential,House,Q4,December,Georgia,Columbus,69.78
Residential,House,Q2,October,Nevada,Albany,74.87
Residential,House,Q4,June,Georgia,Boulder City,75.27
Residential,House,Q2,April,Nevada,Las Vegas,79.85
Culture,Apartment,Q4,December,Georgia,Columbus,79.37
Culture,Apartment,Q2,October,Nevada,Albany,81.54
Culture,Apartment,Q4,June,Georgia,Boulder City,97.18
Culture,Apartment,Q2,April,Nevada,Las Vegas,99.43
