Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Residential,Apartment,Q1,March,Florida,Fort Lauderdale,7.21
Residential,Apartment,Q2,January,Maryland,Tampa,8.04
Residential,Apartment,Q1,June,Florida,Baltimore,11.44
Residential,Apartment,Q2,April,Maryland,Fort Lauderdale,11.51
Culture,Hotel,Q1,March,Florida,Fort Lauderdale,14.5
Culture,Hotel,Q2,January,Maryland,Tampa,18.74
Culture,Hotel,Q1,June,Florida,Baltimore,27.23
Culture,Hotel,Q2,April,Maryland,Fort Lauderdale,29.75
Residential,House,Q1,March,Florida,Fort Lauderdale,46.9
Residential,House,Q2,January,Maryland,Tampa,52.07
Residential,House,Q1,June,Florida,Baltimore,59.35
Residential,House,Q2,April,Maryland,Fort Lauderdale,62.8
Culture,Concert,Q1,March,Florida,Fort Lauderdale,0.16
Culture,Concert,Q2,January,Maryland,Tampa,71.73
Culture,Concert,Q1,June,Florida,Baltimore,72.55
Culture,Concert,Q2,April,Maryland,Fort Lauderdale,72.48
Residential,Theatre,Q1,March,Florida,Fort Lauderdale,83.29
Residential,Theatre,Q2,January,Maryland,Tampa,88.28
Residential,Theatre,Q1,June,Florida,Baltimore,88.19
Residential,Theatre,Q2,April,Maryland,Fort Lauderdale,93.44
