Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2022,Florida,Fort Lauderdale,Wind,Storm,2.52
2022,Florida,Fort Lauderdale,Temperature,Breeze,3.16
2022,Florida,Fort Lauderdale,Wind,31-40,3.01
2022,Florida,Fort Lauderdale,Temperature,11-20,5.63
2017,Georgia,Tampa,Wind,Storm,2.96
2017,Georgia,Tampa,Temperature,Breeze,8.56
2017,Georgia,Tampa,Wind,31-40,8.88
2017,Georgia,Tampa,Temperature,11-20,10.5
2015,Maryland,Albany,Wind,Storm,9.61
2015,Maryland,Albany,Temperature,Breeze,9.99
2015,Maryland,Albany,Wind,31-40,14.12
2015,Maryland,Albany,Temperature,11-20,14.82
2022,Florida,Washington,Wind,Storm,17.95
2022,Florida,Washington,Temperature,Breeze,18.68
2022,Florida,Washington,Wind,31-40,21.31
2022,Florida,Washington,Temperature,11-20,22.54
2017,Georgia,Columbus,Wind,Storm,23.12
2017,Georgia,Columbus,Temperature,Breeze,22.89
2017,Georgia,Columbus,Wind,31-40,24.57
2017,Georgia,Columbus,Temperature,11-20,23.83
2015,Maryland,Aberdeen,Wind,Storm,27.5
2015,Maryland,Aberdeen,Temperature,Breeze,27.78
2015,Maryland,Aberdeen,Wind,31-40,27.61
2015,Maryland,Aberdeen,Temperature,11-20,25.09
2022,Florida,Columbia,Wind,Storm,25.81
2022,Florida,Columbia,Temperature,Breeze,27.98
2022,Florida,Columbia,Wind,31-40,27.32
2022,Florida,Columbia,Temperature,11-20,22.83
