Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Production,Factory,Q3,July,Minnesota,Rochester,3.68
Production,Factory,Q4,September,Oregon,Portland,4.89
Production,Factory,Q3,December,Minnesota,Rochester,13.44
Production,Factory,Q4,November,Oregon,Portland,24.15
Production,Factory,Q3,October,Minnesota,Rochester,27.4
Production,Factory,Q4,July,Oregon,Portland,28.55
Culture,Workshop,Q3,July,Minnesota,Rochester,29.31
Culture,Workshop,Q4,September,Oregon,Portland,31.6
Culture,Workshop,Q3,December,Minnesota,Rochester,39.83
Culture,Workshop,Q4,November,Oregon,Portland,45.49
Culture,Workshop,Q3,October,Minnesota,Rochester,56.69
Culture,Workshop,Q4,July,Oregon,Portland,58.09
Production,Concert,Q3,July,Minnesota,Rochester,58.56
Production,Concert,Q4,September,Oregon,Portland,61.34
Production,Concert,Q3,December,Minnesota,Rochester,64.29
Production,Concert,Q4,November,Oregon,Portland,66.05
Production,Concert,Q3,October,Minnesota,Rochester,72.13
Production,Concert,Q4,July,Oregon,Portland,74.18
Culture,Theatre,Q3,July,Minnesota,Rochester,78.17
Culture,Theatre,Q4,September,Oregon,Portland,85.39
Culture,Theatre,Q3,December,Minnesota,Rochester,90.51
Culture,Theatre,Q4,November,Oregon,Portland,91.1
Culture,Theatre,Q3,October,Minnesota,Rochester,91.89
Culture,Theatre,Q4,July,Oregon,Portland,94.34
