Quarter,Month,Culture_Apartment,Culture_Concert,Culture_Library,Residential_House,Residential_Theatre,Service_Administration,Service_Museum,State,City
Q1,,49.39,1.33,86.95,58.45,18.17,71.85,32.04,,
,  December,49.39,1.33,86.95,58.45,18.67,71.85,32.04,Florida,Salem
,  January,53.33,9.95,89.44,58.67,18.17,72.61,43.88,Oregon,Salem
,  July,52.19,14.92,98.93,66.47,31.88,83.00,47.97,Florida,Salem
Q3,,51.32,4.83,87.74,60.07,19.40,71.63,38.90,,
,  August,53.99,12.47,99.22,66.71,32.74,84.40,47.24,Oregon,Tampa
,  March,54.31,12.27,94.52,63.34,26.64,73.17,44.92,Florida,Tampa
,  November,51.32,4.83,87.74,60.07,19.40,71.63,38.90,Oregon,Tampa
Q4,,49.65,0.47,85.65,55.22,16.73,68.20,32.83,,
,  February,52.66,9.26,88.47,61.75,20.33,73.61,41.59,Florida,Redmond
,  October,49.65,0.47,85.65,55.22,16.73,68.20,32.83,Oregon,Redmond
,  September,53.11,12.81,96.07,65.70,28.29,79.51,46.94,Oregon,Redmond
Minimum,,49.39,0.47,85.65,55.22,16.73,68.20,32.04,,
,  ,49.39,0.47,85.65,55.22,16.73,68.20,32.04,,
