Quarter,Month,Culture_Concert,Culture_Workshop,Production_Factory,Production_Museum,Production_Theatre
Minimum,,71.65,17.20,1.76,81.99,54.03
,  ,71.65,17.20,1.76,81.99,54.03
Q1,,73.86,22.72,2.06,85.97,62.50
,  April,75.38,55.05,13.70,97.56,70.62
,  February,76.67,50.64,9.85,90.52,66.58
,  May,73.86,22.72,2.06,85.97,62.50
Q2,,71.65,17.20,1.76,81.99,54.03
,  January,75.55,52.64,11.38,97.95,68.51
,  July,75.41,37.04,5.17,87.68,64.13
,  June,71.65,17.20,1.76,81.99,54.03
Q3,,72.98,20.78,2.80,82.96,60.91
,  April,72.98,20.78,2.80,82.96,60.91
,  August,76.56,43.46,5.58,90.82,65.44
,  June,79.68,54.66,12.90,98.18,69.08
