Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Wind,Calm,1.79
2019,Humidity,Storm,3.11
2019,Temperature,Breeze,3.88
2019,Wind,Medium,5.0
2019,Humidity,High,27.89
2019,Temperature,Low,27.59
2019,Wind,31-40,10.15
2019,Humidity,21-30,13.14
2019,Temperature,Calm,13.66
2016,Wind,Calm,15.24
2016,Humidity,Storm,16.53
2016,Temperature,Breeze,17.53
2016,Wind,Medium,19.99
2016,Humidity,High,21.79
2016,Temperature,Low,22.01
2016,Wind,31-40,25.8
2016,Humidity,21-30,26.22
2016,Temperature,Calm,27.44
