Polluted element,Type of pollution,Illinois_Champaign,Illinois_Chicago,Illinois_Columbia,Maryland_Baltimore,Maryland_Springfield,Average
Air,Groundwater,14.84,-7.59,-21.83,9.32,-88.75,-18.80
,Industrial,9.92,-65.60,-22.86,76.48,-93.77,-19.17
,Solid Waste,23.22,-64.52,-18.04,-52.01,43.10,-13.65
,Thermal,4.16,-77.85,-30.22,73.87,-93.90,-24.79
Soil,Inferior Irrigation,24.50,64.67,-17.58,80.35,-84.00,13.59
,Light,5.29,52.25,-28.52,-54.91,37.60,2.34
,Surface water,16.73,-5.34,-19.98,7.15,-25.37,-5.36
,Urban Activities,12.42,62.43,-4.91,77.10,31.27,35.66
Water,Chemical,14.01,-71.27,-40.62,10.92,-25.41,-22.47
,Inorganic Fertilizers,23.68,-65.52,-19.26,77.29,-87.72,-14.31
,Noise,8.45,53.23,-26.28,73.31,-96.25,2.49
,Oxygen-depletion,0.27,-78.13,-35.64,69.87,-93.81,-27.49
Average,,13.12,-16.94,-23.81,37.39,-48.08,-7.66
