Polluted element,Type of pollution,Illinois_Champaign_2018,Illinois_Salem_2018,Illinois_Springfield_2021,Oregon_Chicago_2015,Oregon_Portland_2022,Oregon_Redmond_2015,Average
Air,,37.20,3.92,-34.42,-15.81,-13.53,9.48,-2.19
,  Chemical,90.94,34.58,62.74,-49.46,-79.07,6.80,11.09
,  Inferior Irrigation,-9.26,42.81,-62.61,-40.88,-74.56,19.37,-20.86
,  Light,89.45,28.59,-68.57,-57.22,45.85,-0.93,6.20
,  Surface water,-22.35,-90.29,-69.24,84.31,53.66,12.67,-5.21
Soil,,-18.52,-57.32,-30.80,19.27,-43.47,14.51,-19.39
,  Industrial,-12.97,41.90,68.30,85.50,-72.90,16.33,21.03
,  Light,-2.03,-83.68,-57.78,89.25,-71.95,28.03,-16.36
,  Oxygen-depletion,-23.44,-90.53,-67.16,-44.09,53.48,9.52,-27.04
,  Thermal,-35.64,-96.97,-66.54,-53.59,-82.51,4.18,-55.18
Water,,7.19,-26.26,-67.31,82.32,17.65,12.35,4.32
,  Groundwater,-27.93,-91.96,-64.14,80.67,-84.64,8.72,-29.88
,  Noise,84.22,-98.36,-68.41,74.17,46.59,2.97,6.86
,  Solid Waste,-21.41,40.33,-70.55,84.50,53.09,14.55,16.75
,  Urban Activities,-6.11,44.94,-66.12,89.94,55.55,23.17,23.56
