Import-Export,Year,Quarter,Category,Item,Value
Import_Export,Year,Quarter,Category,Item,Value
Export,2017,Q4,Beverage,Juice,512.37
Export,2017,Q4,Meat,Coffee,518.92
Export,2017,Q4,Cereals,Chicken,263.02
Export,2017,Q4,Beverage,Lamb,904.91
Export,2017,Q4,Meat,Corn,265.61
Export,2017,Q4,Cereals,Rice,520.25
Export,2019,Q4,Beverage,Juice,268.61
Export,2019,Q4,Meat,Coffee,525.68
Export,2019,Q4,Cereals,Chicken,269.01
Export,2019,Q4,Beverage,Lamb,141.21
Export,2019,Q4,Meat,Corn,407.37
Export,2019,Q4,Cereals,Rice,24.58
Export,2021,Q4,Beverage,Juice,541.7
Export,2021,Q4,Meat,Coffee,933.07
Export,2021,Q4,Cereals,Chicken,41.5
Export,2021,Q4,Beverage,Lamb,298.24
Export,2021,Q4,Meat,Corn,692.35
Export,2021,Q4,Cereals,Rice,566.34
Export,2017,Q4,Beverage,Juice,186.72
Export,2017,Q4,Meat,Coffee,698.34
Export,2017,Q4,Cereals,Chicken,446.97
Export,2017,Q4,Beverage,Lamb,63.17
Export,2017,Q4,Meat,Corn,449.86
Export,2017,Q4,Cereals,Rice,466.87
Export,2019,Q4,Beverage,Juice,217.09
Export,2019,Q4,Meat,Coffee,986.57
Export,2019,Q4,Cereals,Chicken,92.18
Export,2019,Q4,Beverage,Lamb,996.81
Export,2019,Q4,Meat,Corn,244.72
Export,2019,Q4,Cereals,Rice,501.03
