Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2019,Humidity,Medium,1.58
2019,Temperature,High,3.96
2019,Humidity,21-30,8.7
2019,Temperature,31-40,9.01
2019,Humidity,11-20,11.9
2019,Temperature,Medium,11.73
2018,Humidity,Medium,14.09
2018,Temperature,High,16.66
2018,Humidity,21-30,17.01
2018,Temperature,31-40,18.93
2018,Humidity,11-20,18.55
2018,Temperature,Medium,23.83
2021,Humidity,Medium,21.45
2021,Temperature,High,23.96
2021,Humidity,21-30,24.28
2021,Temperature,31-40,25.06
2021,Humidity,11-20,24.83
2021,Temperature,Medium,25.16
