Polluted element,Type of pollution,California_San Francisco_2021,California_Washington_2015,Georgia_Berkeley_2015,Georgia_Columbus_2015,Georgia_Salem_2021,Oregon_Albany_2021,Oregon_Los-Angeles_2021,Oregon_Portland_2015,Average
Air,,-58.01,67.37,-33.59,17.37,51.42,44.33,-13.83,-85.52,-1.31
,  Industrial,-64.13,64.25,-35.96,15.82,83.76,39.20,-16.12,-92.41,-0.70
,  Inferior Irrigation,-54.90,72.13,-28.24,24.59,96.71,52.08,-9.94,-81.83,8.82
,  Noise,-48.54,74.47,-26.29,26.59,-97.74,55.90,-3.79,-67.12,-10.81
,  Solid Waste,-57.61,69.10,-32.45,18.55,92.71,38.71,-16.47,-90.90,2.70
,  Thermal,-64.86,56.89,-45.02,1.32,81.67,35.77,-22.83,-95.33,-6.55
Soil,,-56.20,69.80,-32.02,20.69,-5.22,48.52,-11.78,-83.12,-6.17
,  Industrial,-47.25,76.36,-24.79,27.96,-96.44,55.89,-2.63,-65.71,-9.58
,  Inorganic Fertilizers,-56.50,70.08,-31.55,23.29,95.82,52.48,-13.02,-86.65,6.74
,  Noise,-63.47,62.05,-42.67,11.38,82.08,38.12,-19.93,-92.95,-3.17
,  Thermal,-50.22,74.52,-27.66,23.08,-98.77,55.50,-8.21,-78.52,-13.79
,  Urban Activities,-63.56,65.97,-33.43,17.73,-8.81,40.63,-15.10,-91.79,-11.04
Average,,-57.10,68.58,-32.81,19.03,23.10,46.43,-12.80,-84.32,-3.74
,  ,-57.10,68.58,-32.81,19.03,23.10,46.43,-12.80,-84.32,-3.74
