Polluted element,Type of pollution,Maryland_Columbia_2022,Maryland_Redmond_2017,Minnesota_Aberdeen_2022,Minnesota_Minneapolis_2017,Oregon_Baltimore_2017,Oregon_Hastings_2022,Oregon_Portland_2022
Air,Industrial,-72.19,42.03,57.79,-46.02,92.05,-28.62,4.36
,Light,-93.59,26.13,52.15,-54.40,74.37,-37.15,-0.80
,Noise,-57.31,43.80,67.21,-38.38,-93.40,-7.23,12.42
,Surface water,-65.95,45.37,61.05,-41.30,-96.59,-20.53,9.32
,Urban Activities,-87.00,35.38,54.67,-48.07,80.99,-33.15,0.71
Soil,Inferior Irrigation,-76.47,37.21,56.68,-49.67,81.81,-31.00,1.64
,Inorganic Fertilizers,-71.05,43.93,57.08,-45.83,96.18,-25.91,6.71
,Light,-60.12,46.03,63.82,-39.26,-96.85,-19.57,9.05
,Thermal,-89.64,30.37,53.17,-53.60,75.78,-33.75,1.24
,Urban Activities,-56.30,50.88,68.73,-39.01,-93.34,-6.51,12.41
Water,Chemical,-69.32,44.19,55.09,-41.40,97.87,-23.82,8.40
,Inferior Irrigation,-54.43,51.91,74.03,-38.00,-91.71,-5.00,24.50
,Noise,-88.07,32.79,53.97,-49.66,78.13,-33.01,1.43
,Solid Waste,-76.42,41.28,57.13,-46.97,89.97,-29.87,2.00
,Thermal,-59.27,43.98,65.12,-38.60,-94.26,-11.23,4.62
