Polluted element,Type of pollution,Florida_Columbus,Florida_Fort Lauderdale,Georgia_Springfield,Georgia_Tampa,Illinois_Albany,Illinois_Champaign
Air,,17.60,19.26,88.31,-56.16,-41.99,-14.54
,  Industrial,70.41,25.11,93.31,-96.58,46.99,-3.49
,  Light,-65.11,19.81,87.30,-97.77,-84.64,-12.57
,  Urban Activities,47.50,12.85,84.31,25.87,-88.32,-27.55
Soil,,-29.74,14.12,-0.77,27.96,42.63,21.20
,  Industrial,-78.42,5.59,77.67,25.22,35.84,98.26
,  Noise,64.23,19.62,-35.49,28.85,47.90,-10.15
,  Surface water,-75.03,17.14,-44.50,29.82,44.15,-24.50
Water,,-27.60,18.19,0.79,-13.27,-41.67,-16.59
,  Chemical,-74.69,18.19,-44.78,29.68,45.53,-15.56
,  Solid Waste,-77.31,11.72,-46.90,25.97,-89.71,-28.30
,  Thermal,69.20,24.67,94.04,-95.45,-80.82,-5.90
