Polluted element,Type of pollution,Illinois_Chicago_2021,Illinois_Minneapolis_2016,Illinois_Rochester_2021,Minnesota_Champaign_2020,Minnesota_Hastings_2017
Air,Industrial,37.77,72.42,-11.06,57.55,95.79
,Oxygen-depletion,-98.97,-59.90,-22.84,55.43,-40.29
,Solid Waste,8.78,61.07,97.51,45.70,80.41
,Thermal,23.03,-63.73,-31.81,50.45,84.98
Soil,Groundwater,-90.24,70.87,-13.59,-71.71,89.56
,Industrial,3.20,-72.14,-30.21,43.42,-50.26
,Light,22.02,-64.29,-29.32,48.28,80.07
,Surface water,26.58,68.10,-23.80,-74.15,85.86
Water,Chemical,-91.89,68.38,-19.27,-72.89,89.28
,Inorganic Fertilizers,11.55,61.16,99.14,48.49,81.09
,Noise,24.73,-62.60,-25.94,-76.45,-43.25
,Solid Waste,-85.99,75.00,-4.09,-73.07,97.20
Average,,-17.45,12.86,-1.27,-1.58,54.20
