Characteristic,Intensity,2017_Minnesota_Fort Lauderdale,2017_Minnesota_Hastings,2017_Minnesota_Minneapolis,2021_Florida_Rochester,2021_Florida_Tampa,Maximum
Humidity,,12.41,6.87,23.22,17.43,25.49,25.49
,  31-40,5.81,5.23,23.22,14.55,25.49,25.49
,  Calm,12.41,2.78,20.74,11.35,23.35,23.35
,  Storm,2.16,6.87,22.78,17.43,8.83,22.78
Temperature,,19.80,5.36,22.77,16.18,27.53,27.53
,  21-30,17.90,4.11,22.77,13.82,27.53,27.53
,  Breeze,10.30,1.16,12.01,7.59,22.00,22.00
,  High,19.80,5.36,21.39,16.18,7.02,21.39
Wind,,19.42,5.10,22.02,14.20,26.25,26.25
,  0-10,16.30,2.42,21.90,12.90,23.15,23.15
,  Medium,19.42,5.10,22.02,14.20,25.01,25.01
,  Storm,9.34,0.45,18.70,4.27,26.25,26.25
Maximum,,19.80,6.87,23.22,17.43,27.53,27.53
,  ,19.80,6.87,23.22,17.43,27.53,27.53
