Polluted element,Type of pollution,California_San Francisco,California_Washington,Georgia_Los-Angeles,Georgia_Rochester,Minnesota_Berkeley,Minnesota_Columbus,Minnesota_Minneapolis,Average
Air,Chemical,-35.67,91.88,-50.02,45.69,-8.67,-81.23,10.26,-3.97
,Industrial,-38.18,71.77,-64.37,39.70,-16.86,-89.58,0.53,-13.86
,Inferior Irrigation,-39.12,87.05,-54.77,46.07,-12.83,-88.30,6.62,-7.90
,Light,-41.10,65.13,-73.32,30.24,-27.16,-92.58,-0.54,-19.90
,Thermal,-32.14,-0.86,-45.16,57.85,-4.03,-76.25,16.90,-11.96
Soil,Inorganic Fertilizers,-37.02,82.49,-62.78,44.05,-15.54,-89.30,4.08,-10.57
,Oxygen-depletion,-34.28,87.62,-53.10,47.40,-10.30,-89.29,6.42,-6.50
,Surface water,-31.28,92.37,-47.92,55.79,-7.48,-78.29,13.93,-0.41
,Thermal,-41.48,68.90,-69.51,29.99,-34.92,-91.15,1.31,-19.55
,Urban Activities,-28.93,-4.58,-9.50,57.18,-2.61,-76.05,24.18,-5.76
Water,Groundwater,-34.73,87.55,-52.17,46.14,-9.43,-84.61,3.18,-6.30
,Industrial,-28.01,-98.38,-42.12,61.70,-1.67,-74.37,29.04,-21.97
,Light,-33.94,91.70,-46.50,57.12,-6.64,-77.46,13.36,-0.34
,Solid Waste,-36.39,86.45,-57.50,45.37,-15.62,-87.75,5.48,-8.57
,Urban Activities,-39.09,70.92,-65.80,38.59,-20.22,-90.75,2.75,-14.80
