Polluted element,Type of pollution,Florida_Aberdeen,Florida_Fort Lauderdale,Florida_Minneapolis,Maryland_Baltimore,Maryland_Tampa,Minnesota_Columbia,Minnesota_Hastings,Average
Air,,-28.59,11.97,-7.50,-10.45,-10.88,2.79,4.43,-5.46
,  Light,66.36,18.82,-2.80,-48.87,36.68,-81.25,94.79,11.96
,  Noise,-74.59,15.31,-7.09,-54.40,-96.73,47.92,-40.33,-29.99
,  Urban Activities,-77.53,1.79,-12.62,71.92,27.40,41.70,-41.18,1.64
Soil,,-29.80,8.97,-14.51,72.85,-56.89,1.52,45.30,3.92
,  Inferior Irrigation,-76.71,11.05,-11.25,73.91,-98.53,-82.32,88.06,-13.68
,  Solid Waste,50.40,-0.14,-29.10,67.15,22.39,38.78,-43.37,15.16
,  Thermal,-63.10,16.00,-3.19,77.49,-94.52,48.09,91.21,10.28
Average,,-29.19,10.47,-11.01,31.20,-33.88,2.15,24.86,-0.77
,  ,-29.19,10.47,-11.01,31.20,-33.88,2.15,24.86,-0.77
