Quarter,Month,Culture_Factory,Culture_Theatre,Production_Administration,Production_Museum,Service_Concert,Service_School,Service_Workshop
Q2,,31.72,74.00,15.01,61.93,91.71,4.81,52.55
,  July,33.53,78.90,24.76,64.87,94.93,9.28,55.62
,  May,31.72,74.00,15.01,61.93,91.71,4.81,52.55
,  October,38.03,84.55,26.76,68.95,94.44,10.67,58.17
Q3,,27.65,76.50,17.71,60.43,92.46,5.41,53.86
,  August,27.65,77.66,26.41,64.38,96.84,10.31,54.85
,  June,30.40,76.50,17.71,60.43,92.46,5.41,53.86
,  May,41.03,85.08,29.65,67.58,99.48,13.39,58.59
Q4,,33.92,77.18,19.90,60.01,94.09,8.35,54.69
,  April,33.92,77.18,19.90,60.01,94.09,8.35,54.69
,  December,38.76,83.84,26.07,67.54,97.58,11.91,57.38
,  June,43.09,84.48,30.64,71.80,99.37,14.18,60.79
