State,City,Year,Polluted element,Type of pollution,Value
State,City,Year,Polluted_element,Type_of_pollution,Value
Minnesota,Rochester,2022,Soil,Urban Activities,7.65
Minnesota,Rochester,2022,Water,Inferior Irrigation,7.96
Minnesota,Rochester,2022,Air,Industrial,7.89
Minnesota,Rochester,2022,Soil,Chemical,11.16
Minnesota,Rochester,2022,Water,Groundwater,16.94
Minnesota,Rochester,2022,Air,Surface water,17.27
Minnesota,Rochester,2022,Soil,Light,18.76
Minnesota,Rochester,2022,Water,Thermal,19.38
Minnesota,Rochester,2022,Air,Noise,19.07
Maryland,Minneapolis,2020,Soil,Urban Activities,21.14
Maryland,Minneapolis,2020,Water,Inferior Irrigation,-2.57
Maryland,Minneapolis,2020,Air,Industrial,25.95
Maryland,Minneapolis,2020,Soil,Chemical,28.16
Maryland,Minneapolis,2020,Water,Groundwater,31.36
Maryland,Minneapolis,2020,Air,Surface water,35.62
Maryland,Minneapolis,2020,Soil,Light,37.14
Maryland,Minneapolis,2020,Water,Thermal,-91.44
Maryland,Minneapolis,2020,Air,Noise,-89.91
Illinois,Aberdeen,2022,Soil,Urban Activities,40.5
Illinois,Aberdeen,2022,Water,Inferior Irrigation,42.11
Illinois,Aberdeen,2022,Air,Industrial,-82.36
Illinois,Aberdeen,2022,Soil,Chemical,-82.18
Illinois,Aberdeen,2022,Water,Groundwater,49.37
Illinois,Aberdeen,2022,Air,Surface water,49.71
Illinois,Aberdeen,2022,Soil,Light,-79.36
Illinois,Aberdeen,2022,Water,Thermal,53.44
Illinois,Aberdeen,2022,Air,Noise,-74.53
Minnesota,Columbia,2020,Soil,Urban Activities,-73.46
Minnesota,Columbia,2020,Water,Inferior Irrigation,-70.35
Minnesota,Columbia,2020,Air,Industrial,-69.7
Minnesota,Columbia,2020,Soil,Chemical,-66.89
Minnesota,Columbia,2020,Water,Groundwater,63.32
Minnesota,Columbia,2020,Air,Surface water,65.46
Minnesota,Columbia,2020,Soil,Light,-59.46
Minnesota,Columbia,2020,Water,Thermal,-58.37
Minnesota,Columbia,2020,Air,Noise,70.89
Maryland,Baltimore,2022,Soil,Urban Activities,-56.09
Maryland,Baltimore,2022,Water,Inferior Irrigation,-53.05
Maryland,Baltimore,2022,Air,Industrial,-52.77
Maryland,Baltimore,2022,Soil,Chemical,77.48
Maryland,Baltimore,2022,Water,Groundwater,76.53
Maryland,Baltimore,2022,Air,Surface water,79.96
Maryland,Baltimore,2022,Soil,Light,-49.49
Maryland,Baltimore,2022,Water,Thermal,-45.22
Maryland,Baltimore,2022,Air,Noise,-39.37
Illinois,Champaign,2020,Soil,Urban Activities,-38.45
Illinois,Champaign,2020,Water,Inferior Irrigation,90.98
Illinois,Champaign,2020,Air,Industrial,92.07
Illinois,Champaign,2020,Soil,Chemical,-35.88
Illinois,Champaign,2020,Water,Groundwater,-31.42
Illinois,Champaign,2020,Air,Surface water,-31.36
Illinois,Champaign,2020,Soil,Light,97.79
Illinois,Champaign,2020,Water,Thermal,-24.69
Illinois,Champaign,2020,Air,Noise,-23.1
Minnesota,Chicago,2022,Soil,Urban Activities,-19.3
Minnesota,Chicago,2022,Water,Inferior Irrigation,-18.5
Minnesota,Chicago,2022,Air,Industrial,-11.71
Minnesota,Chicago,2022,Soil,Chemical,-7.89
Minnesota,Chicago,2022,Water,Groundwater,-6.7
Minnesota,Chicago,2022,Air,Surface water,-5.49
Minnesota,Chicago,2022,Soil,Light,-4.62
Minnesota,Chicago,2022,Water,Thermal,-2.64
Minnesota,Chicago,2022,Air,Noise,-1.02
