Polluted element,Type of pollution,Georgia_Albany,Georgia_Columbus,Georgia_Hastings,Minnesota_Minneapolis,Minnesota_Rochester,Minnesota_Washington,Average
Air,,35.78,16.88,-59.04,-43.86,-13.03,18.12,-7.52
,  Chemical,70.01,-8.06,-89.69,56.51,22.50,81.63,22.15
,  Groundwater,-56.02,-1.79,-87.18,-68.96,-99.49,-38.04,-58.58
,  Solid Waste,64.29,-16.89,-91.09,-80.26,16.48,81.79,-4.28
,  Surface water,64.83,94.27,31.82,-82.73,8.40,-52.88,10.62
Soil,,3.27,-17.09,4.22,20.22,10.27,24.16,7.51
,  Inferior Irrigation,-62.78,-18.62,-97.17,48.78,15.95,78.98,-5.81
,  Oxygen-depletion,63.43,-35.62,32.00,-84.87,7.73,73.28,9.33
,  Surface water,71.76,-2.17,42.40,60.98,-1.98,-8.01,27.16
,  Thermal,-59.34,-11.93,39.64,55.99,19.36,-47.63,-0.65
Water,,33.96,12.51,4.25,17.91,15.42,-17.27,11.13
,  Chemical,61.18,91.76,31.28,44.84,5.27,-57.45,29.48
,  Groundwater,63.50,-24.43,34.62,-81.51,9.87,-51.44,-8.23
,  Light,68.80,-12.41,38.65,53.31,18.90,81.73,41.50
,  Oxygen-depletion,-57.64,-4.90,-87.54,55.00,27.65,-41.94,-18.23
