Polluted element,Type of pollution,Georgia_Portland,Georgia_Washington,Oregon_Albany,Oregon_Redmond,Average
Air,Chemical,-65.98,-0.14,41.62,-28.57,-13.27
,Groundwater,-33.94,37.73,-70.80,-3.00,-17.50
,Industrial,-40.28,26.01,54.03,-14.71,6.26
,Thermal,81.66,14.09,47.90,-22.15,30.38
Soil,Chemical,-31.29,-90.48,-69.59,-2.39,-48.44
,Noise,-42.19,18.93,-81.31,-21.54,-31.53
,Solid Waste,93.51,33.78,-74.88,-5.01,11.85
,Surface water,75.20,7.14,43.06,-27.06,24.59
Water,Groundwater,61.04,-0.83,40.13,-29.19,17.79
,Inorganic Fertilizers,-40.67,21.14,49.42,-20.80,2.27
,Light,-48.55,8.70,-82.58,-27.37,-37.45
,Urban Activities,-35.55,34.93,56.85,-4.57,12.92
