Polluted element,Type of pollution,California_Berkeley,California_Flint,Maryland_Columbia,Maryland_Port Huron,Michigan_Aberdeen,Michigan_Detroit,Michigan_Malibu,Average
Air,,-78.10,52.79,-50.33,72.53,-17.64,16.09,-0.83,-0.78
,  Light,-79.57,49.28,-45.61,74.74,-18.45,17.04,-0.92,-0.50
,  Oxygen-depletion,-78.68,50.17,-57.03,71.82,-19.82,4.65,96.66,9.68
,  Solid Waste,-76.04,58.93,-48.35,71.03,-14.64,26.59,-98.23,-11.53
Soil,,-74.36,58.18,-43.12,76.59,-12.95,21.39,1.84,3.94
,  Chemical,-76.76,55.42,-51.42,73.29,-14.38,16.23,96.89,14.18
,  Surface water,-72.40,57.90,-42.80,77.97,-13.73,17.69,3.50,4.02
,  Urban Activities,-73.92,61.21,-35.15,78.52,-10.75,30.26,-94.87,-6.39
Water,,-76.36,56.76,-48.79,74.84,-14.81,18.86,1.19,1.67
,  Groundwater,-77.91,53.43,-54.89,70.97,-15.20,10.39,97.95,12.11
,  Inferior Irrigation,-74.26,60.53,-46.13,78.70,-11.69,27.56,-96.90,-8.88
,  Noise,-76.89,56.33,-45.35,74.84,-17.53,18.64,2.52,1.79
