Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Temperature,21-30,4.23
2021,Humidity,31-40,4.27
2021,Wind,Low,8.76
2021,Temperature,High,8.4
2021,Humidity,Calm,9.62
2021,Wind,Breeze,8.04
2016,Temperature,21-30,8.33
2016,Humidity,31-40,13.85
2016,Wind,Low,13.28
2016,Temperature,High,8.85
2016,Humidity,Calm,17.2
2016,Wind,Breeze,18.18
2017,Temperature,21-30,20.73
2017,Humidity,31-40,23.6
2017,Wind,Low,20.54
2017,Temperature,High,23.31
2017,Humidity,Calm,24.25
2017,Wind,Breeze,23.78
