Quarter,Month,Production_Hospital,Production_Hotel,Residential_Factory,Residential_House,Residential_School,Service_Administration,Service_Workshop,Minimum
Q1,,55.58,13.19,36.90,0.64,85.84,73.54,30.07,0.64
,  December,58.60,18.48,41.78,3.60,92.72,76.98,34.35,3.60
,  June,65.88,25.30,52.20,10.15,97.78,80.44,38.60,10.15
,  March,55.58,13.19,36.90,0.64,85.84,73.54,30.07,0.64
Q2,,55.63,12.74,43.34,2.72,88.22,76.66,31.60,2.72
,  April,64.23,24.88,50.90,8.08,96.62,80.37,37.61,8.08
,  February,55.63,12.74,43.34,2.72,88.22,76.66,31.60,2.72
,  January,68.33,30.82,53.62,10.60,97.10,84.88,40.78,10.60
Q4,,56.73,13.57,42.45,0.52,85.23,75.27,32.66,0.52
,  January,56.73,13.57,42.45,0.52,85.23,75.27,32.66,0.52
,  March,66.08,28.77,52.76,8.18,98.23,83.40,37.69,8.18
,  November,63.35,19.25,48.46,8.98,95.22,75.82,36.08,8.98
Minimum,,55.58,12.74,36.90,0.52,85.23,73.54,30.07,0.52
,  ,55.58,12.74,36.90,0.52,85.23,73.54,30.07,0.52
