Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2015,Beverage,Coffee,769.79
Import,2015,Dairy,Soda,772.33
Import,2015,Beverage,Cream,782.1
Import,2015,Dairy,Milk,399.99
Import,2015,Beverage,Cheese,152.46
Import,2015,Dairy,Coffee,28.88
Import,2020,Beverage,Coffee,38.68
Import,2020,Dairy,Soda,680.81
Import,2020,Beverage,Cream,300.38
Import,2020,Dairy,Milk,440.34
Import,2020,Beverage,Cheese,955.58
Import,2020,Dairy,Coffee,829.8
Import,2021,Beverage,Coffee,715.51
Import,2021,Dairy,Soda,204.43
Import,2021,Beverage,Cream,850.01
Import,2021,Dairy,Milk,477.29
Import,2021,Beverage,Cheese,734.43
Import,2021,Dairy,Coffee,353.88
Import,2015,Beverage,Coffee,993.26
Import,2015,Dairy,Soda,356.4
Import,2015,Beverage,Cream,109.76
Import,2015,Dairy,Milk,884.73
Import,2015,Beverage,Cheese,504.5
Import,2015,Dairy,Coffee,124.9
