Polluted element,Type of pollution,Maryland_Baltimore_2019,Maryland_Portland_2020,Maryland_Rochester_2020,Minnesota_Aberdeen_2020,Minnesota_Minneapolis_2019,Minnesota_Redmond_2019,Oregon_Hastings_2019,Oregon_Salem_2020
Air,,-78.89,-12.26,47.11,92.63,12.44,-37.39,73.17,-58.84
,  Inferior Irrigation,-91.43,-20.78,38.90,86.27,2.86,-44.96,63.92,-68.48
,  Inorganic Fertilizers,-69.90,-2.02,57.68,97.74,28.64,-29.67,81.35,-50.31
,  Oxygen-depletion,-81.49,-14.66,42.01,90.79,3.71,-39.24,70.28,-59.73
,  Thermal,-72.76,-11.56,49.83,95.73,14.55,-35.69,77.13,-56.85
Soil,,-81.67,-17.99,42.39,88.76,7.03,-42.46,69.79,-61.13
,  Industrial,-93.03,-30.08,30.51,82.95,-0.95,-50.50,58.64,-69.07
,  Light,-71.86,-9.71,52.11,97.77,18.75,-35.28,81.06,-53.02
,  Surface water,-77.06,-13.47,47.90,92.00,6.50,-39.37,72.49,-58.64
,  Urban Activities,-84.72,-18.70,39.05,82.32,3.80,-44.68,66.98,-63.80
Water,,-81.48,-15.24,43.93,91.80,8.22,-39.35,70.70,-60.58
,  Chemical,-83.69,-15.50,41.57,88.43,4.06,-40.37,69.60,-62.19
,  Groundwater,-76.47,-15.06,48.91,95.38,5.46,-37.81,72.52,-58.94
,  Industrial,-72.45,-5.33,54.12,98.20,21.60,-30.32,81.55,-51.59
,  Inorganic Fertilizers,-93.30,-25.06,31.11,85.20,1.76,-48.89,59.13,-69.58
Average,,-80.68,-15.16,44.48,91.06,9.23,-39.73,71.22,-60.18
,  ,-80.68,-15.16,44.48,91.06,9.23,-39.73,71.22,-60.18
