Polluted element,Type of pollution,Florida_Cambridge,Florida_Tampa,Massachusetts_Boston,Massachusetts_Fort Lauderdale,Massachusetts_Reno,Nevada_Las Vegas,Nevada_Lenox
Average,,-27.64,-21.63,17.29,-3.80,-4.32,19.76,-13.23
,  ,-27.64,-21.63,17.29,-3.80,-4.32,19.76,-13.23
Air,,-39.76,-51.25,20.43,25.69,-15.77,49.88,-25.75
,  Groundwater,-88.07,-62.75,11.73,65.33,-28.04,-40.86,-73.27
,  Inferior Irrigation,53.64,-43.52,31.17,-58.28,-2.22,97.92,64.82
,  Thermal,-84.85,-47.49,18.39,70.03,-17.06,92.59,-68.81
Soil,,-44.46,35.30,13.69,-19.31,21.76,3.83,13.01
,  Inferior Irrigation,36.33,73.48,-0.82,-63.97,96.10,-43.82,52.01
,  Noise,-82.14,-45.23,25.84,-58.21,-8.78,-36.42,60.86
,  Surface water,-87.57,77.65,16.06,64.25,-22.04,91.74,-73.84
Water,,1.31,-48.94,17.75,-17.79,-18.95,5.56,-26.96
,  Inorganic Fertilizers,-90.16,-53.54,4.53,-63.74,-29.26,87.01,54.90
,  Light,52.59,-44.43,30.84,-59.32,-5.86,-32.72,-65.94
,  Oxygen-depletion,41.50,-48.84,17.87,69.68,-21.74,-37.60,-69.84
