Polluted element,Type of pollution,Florida_Detroit,Florida_Fort Lauderdale,Michigan_Flint,Michigan_Port Huron,Michigan_Tampa,Average
Air,Inorganic Fertilizers,-89.40,-46.07,19.35,-67.53,-25.80,-41.89
,Light,-91.21,-50.98,14.95,-70.57,34.82,-32.60
,Oxygen-depletion,-92.15,-51.26,4.18,54.18,-33.31,-23.67
Soil,Noise,-22.21,81.58,-46.86,-3.62,46.52,11.08
,Solid Waste,-87.45,86.68,28.08,-63.43,-23.97,-12.02
,Urban Activities,38.81,79.60,17.60,60.96,-28.71,33.65
Water,Chemical,37.78,78.18,8.77,58.45,97.76,56.19
,Inferior Irrigation,33.53,84.42,27.16,64.44,-23.75,37.16
,Thermal,-88.19,15.09,16.67,-70.59,43.03,-16.80
Average,,-40.05,30.80,9.99,-4.19,9.62,1.23
