Quarter,Month,Culture_Museum,Culture_Workshop,Production_Concert,Production_House,Residential_Factory,Residential_Hotel
Q1,,4.45,53.33,14.50,74.98,32.85,85.18
,  April,11.56,71.71,30.42,81.55,50.43,95.70
,  February,8.72,68.17,21.39,77.05,45.26,86.49
,  June,4.45,53.33,14.50,74.98,32.85,85.18
Q2,,2.58,51.91,14.25,73.29,33.17,67.36
,  April,2.58,51.91,14.25,73.29,33.17,84.38
,  January,7.77,67.25,17.16,75.67,43.03,67.36
,  October,11.76,67.96,26.51,81.26,49.10,94.63
Q4,,5.29,54.57,16.76,75.78,43.51,86.53
,  December,10.06,68.87,26.94,80.11,46.51,92.47
,  June,13.94,71.19,32.84,81.73,51.39,94.96
,  March,5.29,54.57,16.76,75.78,43.51,86.53
