Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Humidity,Medium,0.75
2021,Temperature,Low,0.8
2021,Wind,31-40,2.65
2021,Humidity,21-30,3.56
2021,Temperature,Storm,4.71
2021,Wind,Breeze,5.21
2015,Humidity,Medium,6.3
2015,Temperature,Low,5.59
2015,Wind,31-40,2.43
2015,Humidity,21-30,8.55
2015,Temperature,Storm,10.55
2015,Wind,Breeze,12.27
2018,Humidity,Medium,13.8
2018,Temperature,Low,12.88
2018,Wind,31-40,15.53
2018,Humidity,21-30,17.82
2018,Temperature,Storm,22.77
2018,Wind,Breeze,24.43
