Quarter,Month,Culture_Concert,Culture_Hotel,Culture_Library,Residential_Apartment,Residential_Theatre,Service_Hospital,Service_House
Q2,,3.61,41.21,82.61,61.85,16.22,76.04,34.02
,  August,3.61,41.21,87.10,61.85,16.22,76.04,34.02
,  May,12.12,57.06,99.06,71.03,31.49,84.64,40.13
,  October,7.35,52.61,82.61,66.71,21.97,80.38,37.92
Q3,,0.34,41.47,85.08,57.76,13.49,72.45,32.99
,  July,0.34,41.47,85.08,57.76,13.49,72.45,32.99
,  June,10.98,53.68,96.71,67.29,19.12,82.67,37.34
,  November,3.26,50.72,88.43,63.43,19.06,78.26,33.56
Q4,,2.69,42.84,86.24,60.18,16.41,76.00,33.33
,  April,11.67,55.68,99.15,68.60,30.74,83.44,35.41
,  December,5.40,50.82,89.25,63.71,19.66,79.05,36.02
,  September,2.69,42.84,86.24,60.18,16.41,76.00,33.33
Minimum,,0.34,41.21,82.61,57.76,13.49,72.45,32.99
,  ,0.34,41.21,82.61,57.76,13.49,72.45,32.99
