Quarter,Month,Production_House,Production_Library,Residential_Apartment,Residential_Factory,Residential_School,Service_Administration,Service_Hotel,Service_Workshop
Q1,December,35.34,70.83,6.64,83.39,47.45,58.37,22.19,94.57
,February,30.40,66.55,5.44,75.38,44.21,49.46,19.60,90.22
,October,25.64,61.26,2.79,71.22,41.06,50.10,14.64,83.21
Q2,June,32.70,65.90,6.31,79.57,45.32,56.74,21.10,91.35
,November,29.22,62.37,3.89,70.76,40.51,50.45,14.16,85.13
,October,36.99,71.12,6.15,84.26,47.13,57.39,22.94,96.50
Q4,December,25.11,56.37,0.89,72.48,40.03,49.30,12.93,85.97
,January,30.97,65.03,2.67,73.91,43.85,52.68,14.70,89.40
,May,35.90,68.56,7.10,79.03,45.02,57.32,22.73,94.61
Minimum,,25.11,56.37,0.89,70.76,40.03,49.30,12.93,83.21
