State,City,Polluted element,Type of pollution,Value
State,City,Polluted_element,Type_of_pollution,Value
Georgia,Washington,Soil,Urban Activities,1.34
Georgia,Washington,Water,Industrial,6.04
Georgia,Washington,Soil,Inorganic Fertilizers,9.48
Georgia,Washington,Water,Chemical,10.9
Georgia,Washington,Soil,Oxygen-depletion,11.65
Georgia,Washington,Water,Groundwater,9.99
Georgia,Washington,Soil,Surface water,14.3
Georgia,Washington,Water,Urban Activities,15.99
Michigan,Columbus,Soil,Urban Activities,15.12
Michigan,Columbus,Water,Industrial,19.46
Michigan,Columbus,Soil,Inorganic Fertilizers,24.1
Michigan,Columbus,Water,Chemical,25.85
Michigan,Columbus,Soil,Oxygen-depletion,-97.94
Michigan,Columbus,Water,Groundwater,-94.4
Michigan,Columbus,Soil,Surface water,34.27
Michigan,Columbus,Water,Urban Activities,36.03
Minnesota,Albany,Soil,Urban Activities,38.35
Minnesota,Albany,Water,Industrial,-90.01
Minnesota,Albany,Soil,Inorganic Fertilizers,-88.93
Minnesota,Albany,Water,Chemical,41.51
Minnesota,Albany,Soil,Oxygen-depletion,41.55
Minnesota,Albany,Water,Groundwater,-85.06
Minnesota,Albany,Soil,Surface water,-83.26
Minnesota,Albany,Water,Urban Activities,48.43
Georgia,Flint,Soil,Urban Activities,55.48
Georgia,Flint,Water,Industrial,-66.63
Georgia,Flint,Soil,Inorganic Fertilizers,-58.93
Georgia,Flint,Water,Chemical,-57.09
Georgia,Flint,Soil,Oxygen-depletion,-56.22
Georgia,Flint,Water,Groundwater,-57.17
Georgia,Flint,Soil,Surface water,76.04
Georgia,Flint,Water,Urban Activities,77.56
Michigan,Detroit,Soil,Urban Activities,76.39
Michigan,Detroit,Water,Industrial,-48.58
Michigan,Detroit,Soil,Inorganic Fertilizers,-47.55
Michigan,Detroit,Water,Chemical,-46.24
Michigan,Detroit,Soil,Oxygen-depletion,84.25
Michigan,Detroit,Water,Groundwater,84.42
Michigan,Detroit,Soil,Surface water,85.95
Michigan,Detroit,Water,Urban Activities,-41.69
Minnesota,Minneapolis,Soil,Urban Activities,87.9
Minnesota,Minneapolis,Water,Industrial,-39.72
Minnesota,Minneapolis,Soil,Inorganic Fertilizers,-37.59
Minnesota,Minneapolis,Water,Chemical,-36.87
Minnesota,Minneapolis,Soil,Oxygen-depletion,-35.49
Minnesota,Minneapolis,Water,Groundwater,-34.39
Minnesota,Minneapolis,Soil,Surface water,-33.11
Minnesota,Minneapolis,Water,Urban Activities,95.93
Georgia,Hastings,Soil,Urban Activities,96.46
Georgia,Hastings,Water,Industrial,98.87
Georgia,Hastings,Soil,Inorganic Fertilizers,-32.18
Georgia,Hastings,Water,Chemical,-28.5
Georgia,Hastings,Soil,Oxygen-depletion,95.4
Georgia,Hastings,Water,Groundwater,-28.93
Georgia,Hastings,Soil,Surface water,-27.58
Georgia,Hastings,Water,Urban Activities,-27.2
Michigan,Rochester,Soil,Urban Activities,-21.96
Michigan,Rochester,Water,Industrial,-20.04
Michigan,Rochester,Soil,Inorganic Fertilizers,-19.44
Michigan,Rochester,Water,Chemical,-17.89
Michigan,Rochester,Soil,Oxygen-depletion,-15.11
Michigan,Rochester,Water,Groundwater,-12.09
Michigan,Rochester,Soil,Surface water,-7.57
Michigan,Rochester,Water,Urban Activities,-6.24
