Polluted element,Type of pollution,Florida_Fort Lauderdale_2020,Florida_Portland_2020,Florida_Rochester_2019,Minnesota_Minneapolis_2020,Minnesota_Salem_2019,Minnesota_Tampa_2019,Oregon_Hastings_2020,Oregon_Redmond_2019,Average
Air,,8.15,-48.02,84.83,-61.70,-25.87,27.30,60.45,-73.67,-3.57
,  Noise,7.87,-49.83,86.75,4.38,-29.53,27.96,60.03,-71.98,4.46
,  Oxygen-depletion,6.27,-51.47,83.41,-98.06,-25.92,24.95,56.69,-78.52,-10.33
,  Urban Activities,10.33,-42.78,84.35,-91.41,-22.16,29.00,64.63,-70.52,-4.82
Soil,,11.64,-42.65,88.41,-91.08,-21.81,32.38,64.51,-69.03,-3.45
,  Chemical,10.36,-44.93,85.62,-92.93,-24.31,29.56,63.97,-71.02,-5.46
,  Groundwater,11.50,-43.59,89.69,-90.50,-21.04,35.21,65.17,-69.29,-2.86
,  Inorganic Fertilizers,13.05,-39.42,89.91,-89.80,-20.08,32.37,64.38,-66.78,-2.05
Water,,10.64,-45.28,86.69,-93.37,-23.08,30.01,62.00,-71.18,-5.45
,  Industrial,12.37,-41.97,87.21,-92.31,-22.60,31.82,65.16,-69.33,-3.71
,  Surface water,9.56,-45.07,84.79,-94.87,-24.51,24.73,58.94,-72.14,-7.32
,  Thermal,10.00,-48.81,88.08,-92.94,-22.14,33.47,61.92,-72.07,-5.31
Average,,10.15,-45.32,86.65,-82.05,-23.59,29.90,62.32,-71.30,-4.16
,  ,10.15,-45.32,86.65,-82.05,-23.59,29.90,62.32,-71.30,-4.16
