Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Culture,Concert,Q4,October,0.9
Culture,Concert,Q1,December,2.95
Culture,Concert,Q2,March,4.49
Culture,Concert,Q4,January,5.73
Culture,Concert,Q1,February,4.83
Culture,Concert,Q2,May,4.08
Culture,Concert,Q4,June,9.96
Culture,Concert,Q1,April,9.64
Culture,Concert,Q2,October,11.38
Production,Theatre,Q4,October,12.77
Production,Theatre,Q1,December,13.47
Production,Theatre,Q2,March,17.68
Production,Theatre,Q4,January,20.69
Production,Theatre,Q1,February,21.1
Production,Theatre,Q2,May,23.2
Production,Theatre,Q4,June,24.29
Production,Theatre,Q1,April,25.61
Production,Theatre,Q2,October,26.15
Service,Museum,Q4,October,27.37
Service,Museum,Q1,December,24.19
Service,Museum,Q2,March,29.27
Service,Museum,Q4,January,32.96
Service,Museum,Q1,February,35.56
Service,Museum,Q2,May,35.51
Service,Museum,Q4,June,37.26
Service,Museum,Q1,April,42.57
Service,Museum,Q2,October,43.12
Culture,Factory,Q4,October,46.36
Culture,Factory,Q1,December,47.71
Culture,Factory,Q2,March,48.41
Culture,Factory,Q4,January,46.06
Culture,Factory,Q1,February,52.52
Culture,Factory,Q2,May,53.77
Culture,Factory,Q4,June,54.77
Culture,Factory,Q1,April,55.85
Culture,Factory,Q2,October,56.92
Production,Workshop,Q4,October,59.38
Production,Workshop,Q1,December,59.17
Production,Workshop,Q2,March,59.73
Production,Workshop,Q4,January,60.15
Production,Workshop,Q1,February,63.71
Production,Workshop,Q2,May,65.5
Production,Workshop,Q4,June,67.18
Production,Workshop,Q1,April,68.92
Production,Workshop,Q2,October,71.46
Service,Administration,Q4,October,91.78
Service,Administration,Q1,December,76.61
Service,Administration,Q2,March,77.83
Service,Administration,Q4,January,76.7
Service,Administration,Q1,February,80.79
Service,Administration,Q2,May,81.55
Service,Administration,Q4,June,81.53
Service,Administration,Q1,April,83.21
Service,Administration,Q2,October,82.57
Culture,School,Q4,October,81.22
Culture,School,Q1,December,86.39
Culture,School,Q2,March,86.99
Culture,School,Q4,January,88.19
Culture,School,Q1,February,87.15
Culture,School,Q2,May,89.68
Culture,School,Q4,June,91.77
Culture,School,Q1,April,92.61
Culture,School,Q2,October,91.81
Production,Hospital,Q4,October,94.41
Production,Hospital,Q1,December,95.33
Production,Hospital,Q2,March,96.05
Production,Hospital,Q4,January,97.31
Production,Hospital,Q1,February,93.84
Production,Hospital,Q2,May,93.26
Production,Hospital,Q4,June,98.0
Production,Hospital,Q1,April,99.78
Production,Hospital,Q2,October,93.93
