Year,State,City,Characteristic,Intensity,Value
Year,State,City,Characteristic,Intensity,Value
2017,Oregon,Salem,Temperature,21-30,0.62
2017,Oregon,Salem,Humidity,11-20,0.37
2017,Oregon,Salem,Wind,31-40,2.58
2017,Oregon,Salem,Temperature,Low,3.84
2017,Oregon,Salem,Humidity,High,2.6
2017,Oregon,Salem,Wind,Medium,4.17
2017,Oregon,Salem,Temperature,Calm,6.94
2017,Oregon,Salem,Humidity,Storm,7.76
2017,Oregon,Salem,Wind,21-30,8.24
2015,Massachusetts,Redmond,Temperature,21-30,9.41
2015,Massachusetts,Redmond,Humidity,11-20,9.08
2015,Massachusetts,Redmond,Wind,31-40,9.16
2015,Massachusetts,Redmond,Temperature,Low,12.96
2015,Massachusetts,Redmond,Humidity,High,8.38
2015,Massachusetts,Redmond,Wind,Medium,14.59
2015,Massachusetts,Redmond,Temperature,Calm,7.8
2015,Massachusetts,Redmond,Humidity,Storm,14.78
2015,Massachusetts,Redmond,Wind,21-30,17.96
2016,Nevada,Boston,Temperature,21-30,17.23
2016,Nevada,Boston,Humidity,11-20,19.72
2016,Nevada,Boston,Wind,31-40,19.4
2016,Nevada,Boston,Temperature,Low,18.85
2016,Nevada,Boston,Humidity,High,22.54
2016,Nevada,Boston,Wind,Medium,23.42
2016,Nevada,Boston,Temperature,Calm,24.34
2016,Nevada,Boston,Humidity,Storm,18.29
2016,Nevada,Boston,Wind,21-30,26.77
2017,Oregon,Cambridge,Temperature,21-30,26.46
2017,Oregon,Cambridge,Humidity,11-20,26.74
2017,Oregon,Cambridge,Wind,31-40,26.7
2017,Oregon,Cambridge,Temperature,Low,22.12
2017,Oregon,Cambridge,Humidity,High,6.02
2017,Oregon,Cambridge,Wind,Medium,24.38
2017,Oregon,Cambridge,Temperature,Calm,0.11
2017,Oregon,Cambridge,Humidity,Storm,5.67
2017,Oregon,Cambridge,Wind,21-30,26.17
2015,Massachusetts,Lenox,Temperature,21-30,7.24
2015,Massachusetts,Lenox,Humidity,11-20,8.91
2015,Massachusetts,Lenox,Wind,31-40,9.9
2015,Massachusetts,Lenox,Temperature,Low,9.8
2015,Massachusetts,Lenox,Humidity,High,1.28
2015,Massachusetts,Lenox,Wind,Medium,11.13
2015,Massachusetts,Lenox,Temperature,Calm,11.53
2015,Massachusetts,Lenox,Humidity,Storm,12.32
2015,Massachusetts,Lenox,Wind,21-30,12.38
2016,Nevada,Las Vegas,Temperature,21-30,4.23
2016,Nevada,Las Vegas,Humidity,11-20,13.07
2016,Nevada,Las Vegas,Wind,31-40,14.37
2016,Nevada,Las Vegas,Temperature,Low,14.6
2016,Nevada,Las Vegas,Humidity,High,14.31
2016,Nevada,Las Vegas,Wind,Medium,3.05
2016,Nevada,Las Vegas,Temperature,Calm,16.2
2016,Nevada,Las Vegas,Humidity,Storm,3.29
2016,Nevada,Las Vegas,Wind,21-30,16.81
2017,Oregon,Reno,Temperature,21-30,16.21
2017,Oregon,Reno,Humidity,11-20,4.04
2017,Oregon,Reno,Wind,31-40,18.45
2017,Oregon,Reno,Temperature,Low,5.73
2017,Oregon,Reno,Humidity,High,20.1
2017,Oregon,Reno,Wind,Medium,1.31
2017,Oregon,Reno,Temperature,Calm,3.15
2017,Oregon,Reno,Humidity,Storm,23.65
2017,Oregon,Reno,Wind,21-30,25.01
