Year,Characteristic,Intensity,Value
Year,Characteristic,Intensity,Value
2021,Humidity,Medium,0.2
2021,Wind,High,1.67
2021,Temperature,Breeze,0.5
2021,Humidity,Storm,4.29
2021,Wind,Calm,4.93
2021,Temperature,11-20,5.43
2021,Humidity,0-10,5.8
2021,Wind,21-30,4.52
2021,Temperature,Medium,10.8
2020,Humidity,Medium,13.12
2020,Wind,High,14.31
2020,Temperature,Breeze,16.83
2020,Humidity,Storm,17.76
2020,Wind,Calm,17.8
2020,Temperature,11-20,20.01
2020,Humidity,0-10,22.27
2020,Wind,21-30,23.04
2020,Temperature,Medium,26.73
