Type of building,Usage,Quarter,Month,Value
Type_of_building,Usage,Quarter,Month,Value
Residential,Hotel,Q4,December,4.93
Residential,Hotel,Q1,October,12.48
Residential,Hotel,Q4,February,16.02
Residential,Hotel,Q1,January,16.88
Culture,Apartment,Q4,December,18.57
Culture,Apartment,Q1,October,21.51
Culture,Apartment,Q4,February,26.5
Culture,Apartment,Q1,January,27.69
Service,Concert,Q4,December,28.05
Service,Concert,Q1,October,30.97
Service,Concert,Q4,February,36.25
Service,Concert,Q1,January,47.88
Residential,Museum,Q4,December,48.12
Residential,Museum,Q1,October,50.62
Residential,Museum,Q4,February,57.52
Residential,Museum,Q1,January,65.46
Culture,Theatre,Q4,December,66.39
Culture,Theatre,Q1,October,69.97
Culture,Theatre,Q4,February,70.86
Culture,Theatre,Q1,January,74.47
Service,School,Q4,December,75.65
Service,School,Q1,October,77.37
Service,School,Q4,February,81.75
Service,School,Q1,January,84.64
Residential,Administration,Q4,December,84.13
Residential,Administration,Q1,October,87.54
Residential,Administration,Q4,February,94.44
Residential,Administration,Q1,January,98.54
