Import-Export,Year,Category,Item,Value
Import_Export,Year,Category,Item,Value
Import,2017,Dairy,Cream,518.16
Import,2017,Cereals,Cheese,11.87
Import,2017,Beverage,Oats,907.5
Import,2017,Dairy,Soybeans,148.38
Import,2017,Cereals,Soda,408.71
Import,2017,Beverage,Tea,541.41
Import,2017,Dairy,Juice,543.84
Import,2017,Cereals,Cream,810.7
Import,2017,Beverage,Cheese,44.73
Import,2022,Dairy,Cream,53.38
Import,2022,Cereals,Cheese,181.43
Import,2022,Beverage,Oats,571.08
Import,2022,Dairy,Soybeans,64.07
Import,2022,Cereals,Soda,708.36
Import,2022,Beverage,Tea,976.51
Import,2022,Dairy,Juice,212.93
Import,2022,Cereals,Cream,473.1
Import,2022,Beverage,Cheese,987.61
Import,2017,Dairy,Cream,732.07
Import,2017,Cereals,Cheese,862.71
Import,2017,Beverage,Oats,738.27
Import,2017,Dairy,Soybeans,484.23
Import,2017,Cereals,Soda,356.58
Import,2017,Beverage,Tea,492.93
Import,2017,Dairy,Juice,878.16
Import,2017,Cereals,Cream,886.43
Import,2017,Beverage,Cheese,639.05
