Polluted element,Type of pollution,Illinois_Chicago,Illinois_Detroit,Illinois_Flint,Michigan_Champaign,Michigan_Port Huron
Air,Chemical,32.86,72.24,-2.51,-68.43,-32.82
,Inorganic Fertilizers,20.95,-62.94,-20.40,-78.99,-43.97
,Noise,-98.49,65.84,-15.97,-72.40,-36.99
,Oxygen-depletion,7.02,-65.67,-28.08,40.65,81.96
Soil,Industrial,-99.16,-66.77,-15.55,53.09,91.46
,Solid Waste,18.50,-68.84,-22.53,46.88,84.73
,Surface water,1.33,-66.16,-30.49,-91.14,80.76
,Thermal,32.74,73.52,-4.61,-71.23,94.79
Water,Chemical,-0.44,-67.46,-30.89,30.67,-51.91
,Groundwater,13.90,-64.68,-29.79,-4.80,81.20
,Inferior Irrigation,22.20,-65.07,-18.00,-75.11,-39.41
,Light,31.34,72.05,-8.02,-72.86,94.57
