Polluted element,Type of pollution,Georgia_Champaign_2015,Georgia_Redmond_2015,Illinois_Albany_2019,Illinois_Springfield_2019,Oregon_Salem_2016,Oregon_Washington_2016,Average
Soil,,-6.35,-30.50,17.91,-13.34,15.08,8.61,-1.43
,  Groundwater,-33.05,39.35,-67.54,-4.11,24.74,81.04,6.74
,  Industrial,-40.74,-98.80,48.41,-16.09,9.73,-58.48,-26.00
,  Oxygen-depletion,-37.86,-92.69,49.52,-11.62,22.15,73.94,0.57
,  Urban Activities,86.24,30.14,41.24,-21.53,3.70,-62.07,12.95
Water,,-5.82,-61.16,-9.78,-9.90,18.19,11.82,-9.44
,  Chemical,-37.40,38.51,-69.62,-5.25,22.77,79.94,4.82
,  Inorganic Fertilizers,-42.98,-97.99,46.41,-17.98,5.05,69.73,-6.29
,  Surface water,86.49,-94.69,-79.71,-14.71,15.39,-57.86,-24.18
,  Urban Activities,-29.37,-90.49,63.82,-1.68,29.53,-44.54,-12.12
