Category,Item,Import_2016_Q2,Import_2020_Q2,Import_2021_Q2,Average
Beverage,,446.87,520.57,433.93,467.12
,  Seeds,711.54,527.69,572.18,603.80
,  Soybeans,565.61,195.44,424.33,395.13
,  Tea,63.45,838.59,305.28,402.44
Cereals,,656.43,412.13,367.30,478.62
,  Duck,193.85,782.03,312.76,429.55
,  Seeds,818.28,128.21,550.19,498.89
,  Soda,957.15,326.15,238.94,507.41
Meat,,749.26,439.56,437.33,542.05
,  Lamb,961.53,585.56,436.53,661.21
,  Oats,445.61,644.95,365.26,485.27
,  Soybeans,840.64,88.18,510.18,479.67
Average,,617.52,457.42,412.85,495.93
,  ,617.52,457.42,412.85,495.93
