Type of building,Usage,Quarter,Month,State,City,Value
Type_of_building,Usage,Quarter,Month,State,City,Value
Service,Hospital,Q3,August,California,Malibu,3.37
Service,Hospital,Q4,September,Maryland,Aberdeen,7.08
Service,Hospital,Q3,July,California,Malibu,11.56
Service,Hospital,Q4,December,Maryland,Aberdeen,14.82
Service,Hospital,Q3,November,California,Malibu,17.61
Service,Hospital,Q4,August,Maryland,Aberdeen,17.81
Residential,Administration,Q3,August,California,Malibu,20.54
Residential,Administration,Q4,September,Maryland,Aberdeen,21.59
Residential,Administration,Q3,July,California,Malibu,22.97
Residential,Administration,Q4,December,Maryland,Aberdeen,24.06
Residential,Administration,Q3,November,California,Malibu,25.62
Residential,Administration,Q4,August,Maryland,Aberdeen,33.1
Service,School,Q3,August,California,Malibu,36.43
Service,School,Q4,September,Maryland,Aberdeen,40.12
Service,School,Q3,July,California,Malibu,44.43
Service,School,Q4,December,Maryland,Aberdeen,46.61
Service,School,Q3,November,California,Malibu,46.94
Service,School,Q4,August,Maryland,Aberdeen,48.19
Residential,House,Q3,August,California,Malibu,48.69
Residential,House,Q4,September,Maryland,Aberdeen,52.01
Residential,House,Q3,July,California,Malibu,52.59
Residential,House,Q4,December,Maryland,Aberdeen,54.43
Residential,House,Q3,November,California,Malibu,56.48
Residential,House,Q4,August,Maryland,Aberdeen,62.54
Service,Hotel,Q3,August,California,Malibu,66.36
Service,Hotel,Q4,September,Maryland,Aberdeen,67.25
Service,Hotel,Q3,July,California,Malibu,66.67
Service,Hotel,Q4,December,Maryland,Aberdeen,69.08
Service,Hotel,Q3,November,California,Malibu,73.19
Service,Hotel,Q4,August,Maryland,Aberdeen,78.52
Residential,Apartment,Q3,August,California,Malibu,85.06
Residential,Apartment,Q4,September,Maryland,Aberdeen,91.47
Residential,Apartment,Q3,July,California,Malibu,91.54
Residential,Apartment,Q4,December,Maryland,Aberdeen,96.16
Residential,Apartment,Q3,November,California,Malibu,97.94
Residential,Apartment,Q4,August,Maryland,Aberdeen,98.37
